loop = 20, Framerate = 93.232216 fps, buffer->length = 92160
loop = 40, Framerate = 94.047658 fps, buffer->length = 92160
loop = 60, Framerate = 84.097954 fps, buffer->length = 92160
loop = 80, Framerate = 93.058694 fps, buffer->length = 92160
loop = 100, Framerate = 94.877489 fps, buffer->length = 92160
loop = 120, Framerate = 84.027279 fps, buffer->length = 92160
loop = 140, Framerate = 93.171412 fps, buffer->length = 92160
loop = 160, Framerate = 93.774261 fps, buffer->length = 92160
loop = 180, Framerate = 85.419724 fps, buffer->length = 92160
loop = 200, Framerate = 93.249608 fps, buffer->length = 92160
loop = 220, Framerate = 93.853473 fps, buffer->length = 92160
loop = 240, Framerate = 83.879278 fps, buffer->length = 92160
loop = 260, Framerate = 93.581210 fps, buffer->length = 92160
loop = 280, Framerate = 93.397653 fps, buffer->length = 92160
loop = 300, Framerate = 84.897588 fps, buffer->length = 92160
loop = 320, Framerate = 93.206141 fps, buffer->length = 92160
loop = 340, Framerate = 93.677632 fps, buffer->length = 92160
loop = 360, Framerate = 84.154573 fps, buffer->length = 92160
loop = 380, Framerate = 93.686410 fps, buffer->length = 92160
loop = 400, Framerate = 94.251532 fps, buffer->length = 92160
loop = 420, Framerate = 83.647743 fps, buffer->length = 92160
loop = 440, Framerate = 90.050312 fps, buffer->length = 92160
loop = 460, Framerate = 109.135521 fps, buffer->length = 92160
loop = 480, Framerate = 74.733477 fps, buffer->length = 92160
loop = 500, Framerate = 94.003451 fps, buffer->length = 92160
loop = 520, Framerate = 109.506001 fps, buffer->length = 92160
loop = 540, Framerate = 74.633082 fps, buffer->length = 92160
loop = 560, Framerate = 93.154049 fps, buffer->length = 92160
loop = 580, Framerate = 109.470030 fps, buffer->length = 92160
loop = 600, Framerate = 74.727901 fps, buffer->length = 92160
loop = 620, Framerate = 93.188773 fps, buffer->length = 92160
loop = 640, Framerate = 109.879006 fps, buffer->length = 92160
loop = 660, Framerate = 74.727891 fps, buffer->length = 92160
loop = 680, Framerate = 93.258290 fps, buffer->length = 92160
loop = 700, Framerate = 110.205946 fps, buffer->length = 92160
loop = 720, Framerate = 74.996902 fps, buffer->length = 92160
loop = 740, Framerate = 93.319208 fps, buffer->length = 92160
loop = 760, Framerate = 110.730673 fps, buffer->length = 92160
loop = 780, Framerate = 74.627511 fps, buffer->length = 92160
loop = 800, Framerate = 93.959294 fps, buffer->length = 92160
loop = 820, Framerate = 109.746350 fps, buffer->length = 92160
loop = 840, Framerate = 75.369968 fps, buffer->length = 92160
loop = 860, Framerate = 92.791008 fps, buffer->length = 92160
loop = 880, Framerate = 109.230867 fps, buffer->length = 92160
loop = 900, Framerate = 77.095729 fps, buffer->length = 92160
loop = 920, Framerate = 94.715737 fps, buffer->length = 92160
loop = 940, Framerate = 109.553967 fps, buffer->length = 92160
loop = 960, Framerate = 106.338646 fps, buffer->length = 92160
loop = 980, Framerate = 93.102016 fps, buffer->length = 92160
loop = 1000, Framerate = 109.891061 fps, buffer->length = 92160
loop = 1020, Framerate = 74.627516 fps, buffer->length = 92160
loop = 1040, Framerate = 94.483056 fps, buffer->length = 92160
loop = 1060, Framerate = 109.517975 fps, buffer->length = 92160
loop = 1080, Framerate = 74.649795 fps, buffer->length = 92160
loop = 1100, Framerate = 93.354056 fps, buffer->length = 92160
loop = 1120, Framerate = 109.601996 fps, buffer->length = 92160
loop = 1140, Framerate = 74.644221 fps, buffer->length = 92160
loop = 1160, Framerate = 92.911704 fps, buffer->length = 92160
loop = 1180, Framerate = 109.626033 fps, buffer->length = 92160
loop = 1200, Framerate = 74.789378 fps, buffer->length = 92160
loop = 1220, Framerate = 93.301799 fps, buffer->length = 92160
loop = 1240, Framerate = 110.449380 fps, buffer->length = 92160
